customerid,firstname,lastname,address,priphone,secphone,email,custsince,checkingstatus,loanduration,credithistory,loanpurpose,loanamount,existingsavings,employmentduration,installmentpercent,sex,othersonloan,currentresidenceduration,ownsproperty,age,installmentplans,housing,existingcreditscount,job,dependents,telephone,foreignworker,risk
00-0685015,Matt,Walli,73184 Marcy Road,411-496-2035,601-660-9721,mattwalli@hotmail.com,2/13/1999,0_to_200,31,credits_paid_to_date,other,1889,100_to_500,less_1,3,male,none,3,savings_insurance,45,none,own,1,skilled,1,none,yes,No Risk
00-0825685,Shirley,Han,3683 4th Terrace,960-670-6886,687-782-3977,shirleyhan@google.com,9/25/1981,less_0,18,credits_paid_to_date,car_new,462,less_100,1_to_4,2,female,none,2,savings_insurance,23,stores,own,2,skilled,1,none,yes,No Risk
00-1578213,Tim,Bohn,47 Sycamore Street,889-606-3375,914-207-6032,timbohn@yahoo.com,11/5/1982,0_to_200,28,credits_paid_to_date,retraining,3693,less_100,greater_7,3,male,none,2,savings_insurance,49,none,own,1,skilled,1,none,yes,No Risk
00-6538323,Rakshith,DL,77097 Ludington Lane,173-678-8721,913-523-3150,rakshithdl@yahoo.com,3/25/1983,no_checking,32,outstanding_credit,vacation,9604,500_to_1000,greater_7,6,male,co-applicant,5,unknown,26,none,free,2,skilled,2,yes,yes,Risk
00-6823285,Jade,Yushu,5516 Park Meadow Park,246-479-8221,442-159-8733,jadeyushu@google.com,2/8/1989,less_0,16,credits_paid_to_date,vacation,3109,less_100,4_to_7,3,female,none,1,car_other,26,none,own,2,skilled,1,none,yes,No Risk
00-6825492,Brian,Calder,5 Sherman Trail,518-404-5488,598-808-5123,briancalder@outlook.com,6/20/1992,less_0,5,all_credits_paid_back,car_new,1523,less_100,unemployed,2,male,none,2,real_estate,34,none,rent,1,management_self-employed,1,none,yes,No Risk
00-6934830,Anthony,Casaletto,5 Manley Circle,163-195-5761,440-790-8459,anthonycasaletto@gmail.com,10/9/2013,0_to_200,33,credits_paid_to_date,repairs,3946,less_100,4_to_7,2,male,none,2,car_other,38,stores,own,1,unskilled,1,none,yes,No Risk
00-7756855,Casper,Joust,639 Menomonie Road,963-690-3397,493-136-6549,casperjoust@hotmail.com,12/1/1998,less_0,9,prior_payments_delayed,furniture,292,less_100,less_1,2,female,none,3,car_other,45,none,rent,1,skilled,1,none,yes,No Risk
00-8574875,Sasha,Tinsey,004 Glacier Hill Center,117-396-1609,788-199-3327,sashatinsey@yahoo.com,12/2/2014,no_checking,28,prior_payments_delayed,repairs,3789,100_to_500,4_to_7,4,male,none,4,car_other,27,none,own,2,skilled,1,none,yes,Risk
00-9337808,Beatrice,Cockson,55497 Mifflin Point,120-571-7227,573-845-2798,beatricecockson@outlook.com,9/26/1983,no_checking,64,outstanding_credit,retraining,9918,unknown,4_to_7,6,male,co-applicant,5,unknown,61,none,free,2,skilled,2,yes,yes,Risk
00-9779547,Fair,Antrum,26 Hollow Ridge Road,363-967-5162,653-983-8393,fairantrum@google.com,10/28/1981,less_0,4,credits_paid_to_date,car_new,250,less_100,1_to_4,2,female,none,1,real_estate,59,stores,own,1,skilled,1,none,yes,No Risk
00-9856784,Aleda,Colquit,46142 Luster Terrace,104-187-8497,151-365-2658,aledacolquit@google.com,3/1/2004,less_0,39,outstanding_credit,appliances,4131,100_to_500,1_to_4,4,male,none,4,unknown,37,bank,own,1,unskilled,1,yes,yes,No Risk
